Date,Time,County,EPA_ID,zipcode,NO,NO2,SO2,CO,CO2,O3,PM2.5,PM10
2021-01-11,05:00,Alameda,0007,94550,,16.1,,,,0.0,15.0,
2021-01-11,06:00,Alameda,0007,94550,,17.1,,,,0.0,10.0,
2021-01-11,07:00,Alameda,0007,94550,,19.6,,,,0.0,8.0,
2021-01-11,08:00,Alameda,0007,94550,,20.2,,,,0.0,9.0,
2021-01-11,09:00,Alameda,0007,94550,,15.3,,,,0.006,11.0,
2021-01-11,10:00,Alameda,0007,94550,,12.5,,,,0.014,11.0,
2021-01-11,11:00,Alameda,0007,94550,,4.9,,,,0.024,6.0,
2021-01-12,05:00,Alameda,0007,94550,,14.4,,,,0.0,17.0,
2021-01-12,06:00,Alameda,0007,94550,,15.4,,,,0.0,16.0,
2021-01-12,07:00,Alameda,0007,94550,,17.4,,,,0.0,15.0,
2021-01-12,08:00,Alameda,0007,94550,,18.4,,,,0.0,16.0,
2021-01-12,09:00,Alameda,0007,94550,,18.1,,,,0.001,16.0,
2021-01-12,10:00,Alameda,0007,94550,,16.4,,,,0.004,15.0,
2021-01-12,11:00,Alameda,0007,94550,,13.0,,,,0.009,12.0,
2021-01-13,05:00,Alameda,0007,94550,,17.2,,,,0.0,8.0,
2021-01-13,06:00,Alameda,0007,94550,,17.1,,,,0.0,11.0,
2021-01-13,07:00,Alameda,0007,94550,,18.5,,,,0.0,11.0,
2021-01-13,08:00,Alameda,0007,94550,,18.5,,,,0.002,8.0,
2021-01-13,09:00,Alameda,0007,94550,,15.3,,,,0.005,11.0,
2021-01-13,10:00,Alameda,0007,94550,,13.3,,,,0.011,10.0,
2021-01-13,11:00,Alameda,0007,94550,,10.4,,,,0.019,6.0,
2021-01-14,05:00,Alameda,0007,94550,,4.6,,,,0.02,0.0,
2021-01-14,06:00,Alameda,0007,94550,,6.6,,,,0.017,2.0,
2021-01-14,07:00,Alameda,0007,94550,,6.9,,,,0.017,0.0,
2021-01-14,08:00,Alameda,0007,94550,,5.1,,,,0.019,-1.0,
2021-01-14,09:00,Alameda,0007,94550,,4.3,,,,0.022,2.0,
2021-01-14,10:00,Alameda,0007,94550,,3.5,,,,0.024,2.0,
2021-01-14,11:00,Alameda,0007,94550,,2.7,,,,0.026,,
2021-01-15,05:00,Alameda,0007,94550,,18.1,,,,0.0,7.0,
2021-01-15,06:00,Alameda,0007,94550,,18.2,,,,0.0,6.0,
2021-01-15,07:00,Alameda,0007,94550,,18.9,,,,0.0,7.0,
2021-01-15,08:00,Alameda,0007,94550,,18.6,,,,0.0,9.0,
2021-01-15,09:00,Alameda,0007,94550,,19.5,,,,0.003,11.0,
2021-01-15,10:00,Alameda,0007,94550,,19.3,,,,0.005,9.0,
2021-01-15,11:00,Alameda,0007,94550,,15.6,,,,0.011,10.0,
2021-01-16,05:00,Alameda,0007,94550,,16.0,,,,0.0,10.0,
2021-01-16,06:00,Alameda,0007,94550,,15.7,,,,0.0,12.0,
2021-01-16,07:00,Alameda,0007,94550,,17.1,,,,0.0,14.0,
2021-01-16,08:00,Alameda,0007,94550,,18.2,,,,0.001,13.0,
2021-01-16,09:00,Alameda,0007,94550,,15.1,,,,0.006,9.0,
2021-01-16,10:00,Alameda,0007,94550,,10.1,,,,0.013,7.0,
2021-01-16,11:00,Alameda,0007,94550,,6.8,,,,0.024,5.0,
2021-01-17,05:00,Alameda,0007,94550,,6.5,,,,0.018,4.0,
2021-01-17,06:00,Alameda,0007,94550,,6.8,,,,0.016,6.0,
2021-01-17,07:00,Alameda,0007,94550,,11.5,,,,0.011,5.0,
2021-01-17,08:00,Alameda,0007,94550,,16.1,,,,0.007,7.0,
2021-01-17,09:00,Alameda,0007,94550,,5.4,,,,0.022,7.0,
2021-01-17,10:00,Alameda,0007,94550,,3.0,,,,0.028,5.0,
2021-01-17,11:00,Alameda,0007,94550,,1.9,,,,0.033,4.0,
2021-01-18,05:00,Alameda,0007,94550,,3.6,,,,0.029,6.0,
2021-01-18,06:00,Alameda,0007,94550,,2.6,,,,0.032,6.0,
2021-01-18,07:00,Alameda,0007,94550,,3.8,,,,0.031,3.0,
2021-01-18,08:00,Alameda,0007,94550,,1.6,,,,0.036,3.0,
2021-01-18,09:00,Alameda,0007,94550,,0.9,,,,0.038,4.0,
2021-01-18,10:00,Alameda,0007,94550,,0.9,,,,0.039,2.0,
2021-01-18,11:00,Alameda,0007,94550,,1.0,,,,0.039,1.0,
2021-01-19,05:00,Alameda,0007,94550,,0.9,,,,0.034,2.0,
2021-01-19,06:00,Alameda,0007,94550,,1.0,,,,0.033,2.0,
2021-01-19,07:00,Alameda,0007,94550,,1.3,,,,0.032,2.0,
2021-01-19,08:00,Alameda,0007,94550,,1.4,,,,0.032,2.0,
2021-01-19,09:00,Alameda,0007,94550,,1.1,,,,0.032,1.0,
2021-01-19,10:00,Alameda,0007,94550,,1.1,,,,0.032,1.0,
2021-01-19,11:00,Alameda,0007,94550,,,,,,,4.0,
2021-01-20,05:00,Alameda,0007,94550,,4.5,,,,0.025,12.0,
2021-01-20,06:00,Alameda,0007,94550,,9.1,,,,0.02,14.0,
2021-01-20,07:00,Alameda,0007,94550,,6.5,,,,0.023,12.0,
2021-01-20,08:00,Alameda,0007,94550,,6.3,,,,0.024,12.0,
2021-01-20,09:00,Alameda,0007,94550,,3.9,,,,0.029,8.0,
2021-01-20,10:00,Alameda,0007,94550,,1.2,,,,0.034,4.0,
2021-01-20,11:00,Alameda,0007,94550,,,,,,,1.0,
2021-01-21,05:00,Alameda,0007,94550,,23.6,,,,0.0,5.0,
2021-01-21,06:00,Alameda,0007,94550,,25.1,,,,0.0,4.0,
2021-01-21,07:00,Alameda,0007,94550,,26.4,,,,0.0,7.0,
2021-01-21,08:00,Alameda,0007,94550,,29.7,,,,0.001,9.0,
2021-01-21,09:00,Alameda,0007,94550,,27.3,,,,0.005,10.0,
2021-01-21,10:00,Alameda,0007,94550,,22.6,,,,0.01,7.0,
2021-01-21,11:00,Alameda,0007,94550,,19.3,,,,0.016,6.0,
2021-01-22,05:00,Alameda,0007,94550,,2.2,,,,0.029,3.0,
2021-01-22,06:00,Alameda,0007,94550,,3.1,,,,0.027,3.0,
2021-01-22,07:00,Alameda,0007,94550,,4.1,,,,0.026,4.0,
2021-01-22,08:00,Alameda,0007,94550,,3.1,,,,0.032,5.0,
2021-01-22,09:00,Alameda,0007,94550,,4.1,,,,0.032,5.0,
2021-01-22,10:00,Alameda,0007,94550,,4.3,,,,0.031,3.0,
2021-01-22,11:00,Alameda,0007,94550,,4.6,,,,0.03,3.0,
